"commodity number","imports/exports","country","Quantity 1 (Q1) 1988","Quantity 1 (Q1) 1989","Quantity 1 (Q1) 1990","Quantity 1 (Q1) 2017","Quantity 1 (Q1) 2018","Value (NOK) 1988","Value (NOK) 1989","Value (NOK) 1990","Value (NOK) 2017","Value (NOK) 2018","Quantity 2 (Q2) 1988","Quantity 2 (Q2) 1989","Quantity 2 (Q2) 1990","Quantity 2 (Q2) 2017","Quantity 2 (Q2) 2018"
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Imports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Imports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Imports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Imports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Imports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Exports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Exports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Exports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Exports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000011 (q1=kg, q2=none) Imports of unspecified goods, with duty","Exports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Imports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Imports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Imports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Imports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Imports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Exports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Exports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Exports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Exports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000031 (q1=kg, q2=none) Supplies delivered to Norwegian owned ships","Exports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Imports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Imports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Imports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Imports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Imports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Exports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Exports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Exports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Exports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00000032 (q1=kg, q2=none) Articles for comsumption delivered to Norwegian owned ships","Exports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Imports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Imports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Imports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Imports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Imports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Exports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Exports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Exports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Exports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99319900 (q1=kg,q2=none) Unspecified goods, chapter 25, 26, 28-97","Exports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Imports","AF Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Imports","AL Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Imports","DZ Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Imports","AX Åland (2005-)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Imports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Exports","AF Afghanistan",4267289,2499824,50225,400,200,13522432,9211090,42617,3800,1500,-,-,-,-,-
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Exports","AL Albania",0,0,0,194400,121200,0,0,0,494180,328868,0,0,0,-,-
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Exports","DZ Algeria",117250,2406600,1580850,220700,407435,1139217,13725760,7276574,3902478,10927646,-,-,-,-,-
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Exports","AX Åland (2005-)",0,0,0,6500,0,0,0,0,150937,0,0,0,0,-,0
"99999999 (q1=kg, q2=none) Total, all commodities not for publication","Exports","ZZ International Organisations (-2011)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
